"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 14:08:06 GMT 2024","Wed Oct 16 14:08:21 GMT 2024","15158","test","test_jobcards","","","","test_sign_in","
    Sign in to the application if not automatically logged in
    "
"broken","Wed Oct 16 14:09:06 GMT 2024","Wed Oct 16 14:09:22 GMT 2024","16159","test","test_suppliers","","","","Open Dashboard Menu","
    Test that the form cannot be submitted without required fields
    "
"passed","Wed Oct 16 14:08:53 GMT 2024","Wed Oct 16 14:09:03 GMT 2024","10094","test","test_suppliers","","","","Supplier Table Test","
    close modal
    "
"passed","Wed Oct 16 14:07:19 GMT 2024","Wed Oct 16 14:07:26 GMT 2024","7427","test","test_customers","","","","Customer Table Test","
    Open the ResourceZen website
    "
"passed","Wed Oct 16 14:08:00 GMT 2024","Wed Oct 16 14:08:06 GMT 2024","5581","test","test_jobcards","","","","JobCardTest","
    Open the ResourceZen website
    "
"passed","Wed Oct 16 14:08:38 GMT 2024","Wed Oct 16 14:08:53 GMT 2024","15048","test","test_suppliers","","","","Sign In","
    Sign in to the application if not automatically logged in
    "
"passed","Wed Oct 16 14:07:41 GMT 2024","Wed Oct 16 14:07:44 GMT 2024","3188","test","test_customers","","","","Open Dashboard Menu","
    Open the Customers page
    "
"broken","Wed Oct 16 14:07:44 GMT 2024","Wed Oct 16 14:08:00 GMT 2024","16625","test","test_customers","","","","Open Dashboard Menu","
    Test that the form cannot be submitted without required fields
    "
"failed","Wed Oct 16 14:06:46 GMT 2024","Wed Oct 16 14:06:46 GMT 2024","1","test","pytest_quick_start_test","","","","test_allure_simple_test displayName",""
"passed","Wed Oct 16 14:07:26 GMT 2024","Wed Oct 16 14:07:41 GMT 2024","14245","test","test_customers","","","","test_sign_in","
    Sign in to the application if not automatically logged in
    "
"passed","Wed Oct 16 14:08:21 GMT 2024","Wed Oct 16 14:08:32 GMT 2024","11126","test","test_jobcards","","","","test_close_modal","
    open JobCard view modal and close it
    "
"passed","Wed Oct 16 14:09:03 GMT 2024","Wed Oct 16 14:09:06 GMT 2024","2912","test","test_suppliers","","","","Open Dashboard Menu","
    Open the Suppliers page
    "
"passed","Wed Oct 16 14:08:32 GMT 2024","Wed Oct 16 14:08:38 GMT 2024","5820","test","test_suppliers","","","","ResourceZen Home","
    Open the ResourceZen website
    "
